feature,importance_split,importance_gain
p90_historical_pfdi_component,40,4850.999438762665
station_neighbor_mean_pfdi,38,1521.3768200874329
patrol_pagerank_y,9,665.5444493293762
patrol_pagerank_x,10,621.7650051116943
static_potential,22,548.0731182098389
vehicle_graph_degree,16,542.5702066421509
median_exposure_station_time,23,512.9751296043396
geo_neighbor_mean_pfdi,15,473.05434560775757
exposure_bias_correction_factor,19,430.33297061920166
observed_pfdi,15,395.0472078323364
lag_1_pfdi,17,390.3680896759033
blindspot_risk,22,388.44132947921753
bias_corrected_pfdi,15,359.4325895309448
same_slot_21d_avg_pfdi,19,351.24954080581665
patrol_myopia_station,13,326.09007358551025
pattern_neighbor_mean_pfdi,8,325.86009979248047
lag_2_pfdi,14,295.90729904174805
rolling_1d_pfdi,10,292.76090240478516
lag_8_pfdi,12,289.41020011901855
corridor_pfdi,12,270.8675994873047
lag_56_pfdi,13,267.11484813690186
rolling_21d_pfdi,13,262.1382894515991
growth_7d_vs_21d,13,257.3544006347656
rolling_7d_pfdi,10,254.93850326538086
evidence_quality_score_mean,12,251.0135383605957
hour,10,237.48961114883423
device_trust_mean,10,209.8597011566162
junction_basin_pfdi,12,208.21852016448975
same_slot_7d_avg_pfdi,10,194.72733879089355
coverage_gap,9,185.49740028381348
station_evidence_quality,8,181.9388189315796
hidden_no_junction_spillover_impact,6,174.6709966659546
repeat_pressure_mean,10,165.14962911605835
user_trust_mean,8,163.84600830078125
patrol_in_degree,6,144.04539680480957
location_criticality_mean,5,138.5891990661621
record_count,5,130.87249755859375
repeat_vehicle_count,2,110.87239837646484
two_wheeler_share,3,100.08360290527344
patrol_out_degree,5,98.36929178237915
severe_violation_count,4,95.57019996643066
patrol_route_coverage,4,85.57730102539062
junction_basin_risk_component,3,77.16019821166992
day_of_week,3,68.1058292388916
corridor_recent_pfdi,3,67.18990135192871
patrol_weighted_degree,2,51.41270065307617
scita_success_rate,2,50.9822998046875
station_hour_activity,2,50.38870048522949
peak_priority,2,41.353200912475586
large_vehicle_share_component,2,41.043901443481445
repeat_vehicle_share,1,33.450199127197266
transit_node,2,30.99472999572754
validation_coverage,1,30.14739990234375
persistence_score,1,28.8533992767334
patrol_route_coverage_norm,1,27.156999588012695
community_id,1,23.208999633789062
main_road_parking_share,1,17.498600006103516
same_vehicle_different_zone_6h_count,1,15.402600288391113
exposure,1,15.068599700927734
large_vehicle_share,1,14.42490005493164
recurrence_component,1,13.88129997253418
airport_zone,0,0.0
commercial_market,0,0.0
corridor_risk_component,0,0.0
double_parking_share,0,0.0
entertainment,0,0.0
evening_peak_audit,0,0.0
evening_severity_prior,0,0.0
hidden_junction_spillover,0,0.0
hidden_no_junction_spillover_count,0,0.0
high_static_potential,0,0.0
institutional,0,0.0
is_active_graph_zone,0,0.0
is_weekend,0,0.0
location_criticality_component,0,0.0
low_enforcement_visibility,0,0.0
near_patrol_but_uncovered,0,0.0
near_patrol_but_uncovered_flag,0,0.0
patrol_expansion_opportunity_component,0,0.0
raw_impact,0,0.0
religious_place,0,0.0
repeat_persistence_component,0,0.0
residential_layout,0,0.0
same_vehicle_same_zone_6h_count,0,0.0
scita_success_rate_norm,0,0.0
station_hour_activity_norm,0,0.0
type_correction_rate,0,0.0
uncertainty,0,0.0
unique_created_by_user_count,0,0.0
unique_created_by_user_count_norm,0,0.0
unique_device_count,0,0.0
unique_device_count_norm,0,0.0
validation_coverage_norm,0,0.0
zero_window_weight,0,0.0
